"filename", "language", "YAML", "Markdown", "Gradle", "Dart", "Java Properties", "XML", "Kotlin", "Swift", "JSON", "C++", "comment", "blank", "total"
"/Users/guosurui/Code/genius_lens/lib/api/state.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 14, 52
"/Users/guosurui/Code/genius_lens/lib/constants.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 5, 19
"/Users/guosurui/Code/genius_lens/lib/data/ctx/user_context.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/guosurui/Code/genius_lens/lib/data/debug_model.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"/Users/guosurui/Code/genius_lens/lib/data/entity/common.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/guosurui/Code/genius_lens/lib/data/entity/community.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 8, 51
"/Users/guosurui/Code/genius_lens/lib/data/entity/favorite.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/guosurui/Code/genius_lens/lib/data/entity/generate.dart", "Dart", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 1, 28, 121
"/Users/guosurui/Code/genius_lens/lib/data/entity/result.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/guosurui/Code/genius_lens/lib/data/entity/user.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/guosurui/Code/genius_lens/lib/data/entity/user_model.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 8, 34
"/Users/guosurui/Code/genius_lens/lib/data/exception/api_exception.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 6, 24
"/Users/guosurui/Code/genius_lens/lib/main.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 1, 10, 67
"/Users/guosurui/Code/genius_lens/lib/pages/common/image_select_page.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/guosurui/Code/genius_lens/lib/pages/community/community_card.dart", "Dart", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 1, 4, 113
"/Users/guosurui/Code/genius_lens/lib/pages/community/community_page.dart", "Dart", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 4, 20, 189
"/Users/guosurui/Code/genius_lens/lib/pages/community/detail_page.dart", "Dart", 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 9, 10, 315
"/Users/guosurui/Code/genius_lens/lib/pages/detail/detail_copyright.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 3, 51
"/Users/guosurui/Code/genius_lens/lib/pages/detail/detail_intro.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 4, 90
"/Users/guosurui/Code/genius_lens/lib/pages/detail/detail_page.dart", "Dart", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 1, 7, 133
"/Users/guosurui/Code/genius_lens/lib/pages/detail/detail_sharing_card.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 6, 94
"/Users/guosurui/Code/genius_lens/lib/pages/detail/detail_sharings.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/guosurui/Code/genius_lens/lib/pages/entrance/entrance_page.dart", "Dart", 0, 0, 0, 439, 0, 0, 0, 0, 0, 0, 16, 35, 490
"/Users/guosurui/Code/genius_lens/lib/pages/entrance/model_create_page.dart", "Dart", 0, 0, 0, 454, 0, 0, 0, 0, 0, 0, 3, 17, 474
"/Users/guosurui/Code/genius_lens/lib/pages/function/function_card.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 8, 83
"/Users/guosurui/Code/genius_lens/lib/pages/function/function_page.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 60
